Day,Month,Year,Hour,Min,Sec,mode,Time,BBBV,BBBVs,style,cell0,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,Lcl,Rcl,Dcl,Leff,Reff,Deff,Openings,Islands,Path,GZiNi,HZiNi
5,7,2013,20,13,17,BEG,3.15,10,3.17,NF,24,17,8,1,4,0,0,0,0,11,0,0,10,0,0,1,2,448,9,10
5,7,2013,20,13,21,BEG,2.12,6,2.83,NF,27,19,2,5,1,0,0,0,0,8,0,0,6,0,0,2,2,258,6,6
6,7,2013,17,57,11,BEG,5.80,25,4.31,NF,15,17,19,3,0,0,0,0,0,31,0,0,27,0,0,2,1,750,16,18
6,7,2013,18,36,15,BEG,4.55,16,3.51,NF,21,17,12,2,1,1,0,0,0,23,0,0,19,0,0,2,3,632,11,15
6,7,2013,18,36,37,BEG,4.85,14,2.88,NF,19,25,8,0,2,0,0,0,0,21,0,0,19,0,0,3,3,670,14,14
6,7,2013,18,36,45,BEG,7.29,27,3.70,NF,10,30,14,0,0,0,0,0,0,36,0,0,33,0,0,3,2,950,18,18
6,7,2013,18,37,12,BEG,5.23,17,3.25,NF,17,21,11,4,1,0,0,0,0,22,0,0,21,0,0,2,3,639,16,17
6,7,2013,18,51,37,BEG,4.89,13,2.65,NF,13,27,12,2,0,0,0,0,0,25,0,0,22,0,0,4,6,881,13,13
6,7,2013,18,51,53,BEG,2.83,9,3.18,NF,21,20,11,2,0,0,0,0,0,13,0,0,11,0,0,2,1,378,7,7
6,7,2013,18,51,59,BEG,4.27,13,3.04,NF,17,19,15,3,0,0,0,0,0,20,0,0,17,0,0,3,4,558,11,13
6,7,2013,18,52,8,BEG,4.59,12,2.61,NF,17,24,9,4,0,0,0,0,0,21,0,0,17,0,0,3,4,653,11,11
6,7,2013,18,52,13,BEG,4.15,16,3.85,NF,21,18,11,2,2,0,0,0,0,23,0,0,21,0,0,3,3,535,10,11
6,7,2013,18,52,25,BEG,5.94,27,4.54,NF,13,22,14,5,0,0,0,0,0,31,0,0,29,0,0,2,2,768,19,22
6,7,2013,18,52,48,BEG,2.48,10,4.03,NF,25,15,9,5,0,0,0,0,0,11,0,0,10,0,0,1,2,351,8,10
6,7,2013,18,53,15,BEG,3.04,12,3.94,NF,23,15,12,4,0,0,0,0,0,13,0,0,12,0,0,1,4,514,10,12
6,7,2013,18,53,39,BEG,5.49,22,4.00,NF,14,23,13,3,1,0,0,0,0,29,0,0,26,0,0,3,3,750,16,16
6,7,2013,18,53,52,BEG,3.26,13,3.98,NF,28,13,7,4,2,0,0,0,0,16,0,0,15,0,0,2,1,468,10,12
6,7,2013,18,54,6,BEG,4.07,16,3.93,NF,17,21,10,6,0,0,0,0,0,20,0,0,19,0,0,2,4,603,14,16
6,7,2013,18,54,16,BEG,3.67,9,2.45,NF,23,15,10,6,0,0,0,0,0,18,0,0,14,0,0,2,3,594,9,9
6,7,2013,18,54,55,BEG,3.08,9,2.92,NF,21,22,9,2,0,0,0,0,0,14,0,0,12,0,0,2,4,461,7,7
6,7,2013,18,55,0,BEG,3.27,9,2.75,NF,23,15,7,6,3,0,0,0,0,13,0,0,11,0,0,2,3,504,9,9
6,7,2013,18,55,28,BEG,3.83,8,2.08,NF,22,20,6,5,1,0,0,0,0,14,0,0,13,0,0,3,3,644,8,8
6,7,2013,18,55,38,BEG,4.94,13,2.63,NF,21,16,9,6,2,0,0,0,0,22,0,0,20,0,0,3,2,668,11,12
6,7,2013,18,55,55,BEG,2.88,11,3.81,NF,23,21,8,2,0,0,0,0,0,13,0,0,12,0,0,1,3,387,9,9
6,7,2013,18,56,10,BEG,3.58,11,3.07,NF,24,12,12,5,0,1,0,0,0,15,0,0,13,0,0,2,4,507,11,11
6,7,2013,18,56,16,BEG,5.48,23,4.19,NF,17,19,17,1,0,0,0,0,0,25,0,0,24,0,0,1,4,665,17,19
6,7,2013,18,56,22,BEG,4.27,18,4.21,NF,16,19,17,2,0,0,0,0,0,23,0,0,20,0,0,2,4,608,13,15
6,7,2013,18,56,32,BEG,5.65,21,3.71,NF,16,22,11,5,0,0,0,0,0,28,0,0,26,0,0,3,2,827,14,14
6,7,2013,18,56,46,BEG,4.32,17,3.93,NF,21,13,15,4,1,0,0,0,0,22,0,0,20,0,0,2,2,571,13,15
6,7,2013,18,57,6,BEG,5.66,23,4.06,NF,13,22,13,6,0,0,0,0,0,27,0,0,26,0,0,2,4,765,18,20
6,7,2013,18,57,16,BEG,4.11,16,3.89,NF,20,20,6,8,0,0,0,0,0,20,0,0,18,0,0,2,1,485,11,14
6,7,2013,18,57,24,BEG,7.51,30,3.99,NF,10,32,12,0,0,0,0,0,0,41,0,0,36,0,0,3,1,999,18,18
